============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> Carbon(  6 um) ==============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  122  1 .1651418E+07   6000176E-02 -.5789E+03  .2813E+03   .9997824 -.0169958  .0120932
T  123  1 .1679726E+07   6000073E-02 -.4532E+02 -.3591E+03   .9999050  .0050238 -.0128344
T  124  1 .1679912E+07   6000140E-02  .2790E+03 -.1029E+04   .9998380  .0101177 -.0148890
T  125  1 .1679322E+07   6000172E-02 -.5118E+03 -.2178E+03   .9999889 -.0033851  .0032874
T  126  1 .1719573E+07   6000012E-02 -.8618E+02  .3368E+03   .9999262 -.0105366  .0060398
T  127  1 .1684926E+07   6000090E-02 -.4123E+03 -.5203E+03   .9998358 -.0156488 -.0091418
T  128  1 .1687618E+07   6000039E-02  .5201E+03 -.2076E+03   .9996309  .0261838 -.0072379
T  129  1 .1684669E+07   6000059E-02  .2473E+03 -.5554E+03   .9980402  .0348126 -.0519982
T  130  1 .1704418E+07   6000097E-02  .4247E+03  .3075E+03   .9998562  .0124692  .0114898
T  131  1 .1671522E+07   6000114E-02  .9283E+02  .4725E+02   .9999358  .0052040  .0100659
T  132  1 .1696495E+07   6000137E-02 -.1935E+03  .2869E+03   .9999369 -.0096055  .0058298
T  133  1 .1679659E+07   6000138E-02 -.5420E+03  .6375E+03   .9995091 -.0302271  .0082440
T  134  1 .1694932E+07   6000005E-02 -.1133E+03  .4334E+03   .9997858 -.0010422  .0206685
T  135  1 .1691823E+07   6000002E-02 -.2544E+03 -.2615E+03   .9999398 -.0098727 -.0047814
T  136  1 .1678057E+07   6000096E-02 -.1546E+02  .2367E+03   .9999029 -.0032953  .0135414
T  137  1 .1670900E+07   6000044E-02 -.4006E+03 -.1671E+03   .9999476 -.0098982  .0026010
T  138  1 .1681368E+07   6000171E-02 -.2679E+04 -.1610E+04   .9982826 -.0528789 -.0252116
T  139  1 .1684068E+07   6000080E-02  .8189E+03  .5183E+03   .9993497  .0322381  .0161549
